minx,miny,maxx,maxy
50.692565,28.798877999999995,50.892565000000005,28.998877999999994
50.692565,28.998877999999994,50.892565000000005,29.198877999999993
50.692565,29.198877999999993,50.892565000000005,29.398877999999993
50.892565000000005,28.598877999999996,51.09256500000001,28.798877999999995
50.892565000000005,28.798877999999995,51.09256500000001,28.998877999999994
50.892565000000005,28.998877999999994,51.09256500000001,29.198877999999993
50.892565000000005,29.198877999999993,51.09256500000001,29.398877999999993
51.09256500000001,27.998877999999998,51.29256500000001,28.198877999999997
51.09256500000001,28.198877999999997,51.29256500000001,28.398877999999996
51.09256500000001,28.398877999999996,51.29256500000001,28.598877999999996
51.09256500000001,28.598877999999996,51.29256500000001,28.798877999999995
51.09256500000001,28.798877999999995,51.29256500000001,28.998877999999994
51.09256500000001,28.998877999999994,51.29256500000001,29.198877999999993
51.29256500000001,27.798878,51.49256500000001,27.998877999999998
51.29256500000001,27.998877999999998,51.49256500000001,28.198877999999997
51.29256500000001,28.198877999999997,51.49256500000001,28.398877999999996
51.29256500000001,28.398877999999996,51.49256500000001,28.598877999999996
51.29256500000001,28.598877999999996,51.49256500000001,28.798877999999995
51.29256500000001,28.798877999999995,51.49256500000001,28.998877999999994
51.29256500000001,28.998877999999994,51.49256500000001,29.198877999999993
51.49256500000001,27.798878,51.692565000000016,27.998877999999998
51.49256500000001,27.998877999999998,51.692565000000016,28.198877999999997
51.49256500000001,28.198877999999997,51.692565000000016,28.398877999999996
51.49256500000001,28.398877999999996,51.692565000000016,28.598877999999996
51.49256500000001,28.598877999999996,51.692565000000016,28.798877999999995
51.49256500000001,28.798877999999995,51.692565000000016,28.998877999999994
51.49256500000001,28.998877999999994,51.692565000000016,29.198877999999993
51.692565000000016,27.798878,51.89256500000002,27.998877999999998
51.692565000000016,27.998877999999998,51.89256500000002,28.198877999999997
51.692565000000016,28.198877999999997,51.89256500000002,28.398877999999996
51.692565000000016,28.398877999999996,51.89256500000002,28.598877999999996
51.692565000000016,28.598877999999996,51.89256500000002,28.798877999999995
51.692565000000016,28.798877999999995,51.89256500000002,28.998877999999994
51.692565000000016,28.998877999999994,51.89256500000002,29.198877999999993
51.89256500000002,27.798878,52.09256500000002,27.998877999999998
51.89256500000002,27.998877999999998,52.09256500000002,28.198877999999997
51.89256500000002,28.198877999999997,52.09256500000002,28.398877999999996
51.89256500000002,28.398877999999996,52.09256500000002,28.598877999999996
51.89256500000002,28.598877999999996,52.09256500000002,28.798877999999995
51.89256500000002,28.798877999999995,52.09256500000002,28.998877999999994
51.89256500000002,28.998877999999994,52.09256500000002,29.198877999999993
51.89256500000002,30.39887799999999,52.09256500000002,30.59887799999999
51.89256500000002,30.59887799999999,52.09256500000002,30.798877999999988
51.89256500000002,30.798877999999988,52.09256500000002,30.998877999999987
51.89256500000002,30.998877999999987,52.09256500000002,31.198877999999986
51.89256500000002,31.198877999999986,52.09256500000002,31.398877999999986
51.89256500000002,31.398877999999986,52.09256500000002,31.598877999999985
51.89256500000002,31.598877999999985,52.09256500000002,31.798877999999984
52.09256500000002,27.798878,52.292565000000025,27.998877999999998
52.09256500000002,27.998877999999998,52.292565000000025,28.198877999999997
52.09256500000002,28.198877999999997,52.292565000000025,28.398877999999996
52.09256500000002,28.398877999999996,52.292565000000025,28.598877999999996
52.09256500000002,28.598877999999996,52.292565000000025,28.798877999999995
52.09256500000002,28.798877999999995,52.292565000000025,28.998877999999994
52.09256500000002,28.998877999999994,52.292565000000025,29.198877999999993
52.09256500000002,29.198877999999993,52.292565000000025,29.398877999999993
52.09256500000002,29.99887799999999,52.292565000000025,30.19887799999999
52.09256500000002,30.19887799999999,52.292565000000025,30.39887799999999
52.09256500000002,30.39887799999999,52.292565000000025,30.59887799999999
52.09256500000002,30.59887799999999,52.292565000000025,30.798877999999988
52.09256500000002,30.798877999999988,52.292565000000025,30.998877999999987
52.09256500000002,30.998877999999987,52.292565000000025,31.198877999999986
52.09256500000002,31.198877999999986,52.292565000000025,31.398877999999986
52.09256500000002,31.398877999999986,52.292565000000025,31.598877999999985
52.09256500000002,31.598877999999985,52.292565000000025,31.798877999999984
52.292565000000025,27.598878,52.49256500000003,27.798878
52.292565000000025,27.798878,52.49256500000003,27.998877999999998
52.292565000000025,27.998877999999998,52.49256500000003,28.198877999999997
52.292565000000025,28.198877999999997,52.49256500000003,28.398877999999996
52.292565000000025,28.398877999999996,52.49256500000003,28.598877999999996
52.292565000000025,28.598877999999996,52.49256500000003,28.798877999999995
52.292565000000025,28.798877999999995,52.49256500000003,28.998877999999994
52.292565000000025,28.998877999999994,52.49256500000003,29.198877999999993
52.292565000000025,29.198877999999993,52.49256500000003,29.398877999999993
52.292565000000025,29.598877999999992,52.49256500000003,29.79887799999999
52.292565000000025,29.79887799999999,52.49256500000003,29.99887799999999
52.292565000000025,29.99887799999999,52.49256500000003,30.19887799999999
52.292565000000025,30.19887799999999,52.49256500000003,30.39887799999999
52.292565000000025,30.39887799999999,52.49256500000003,30.59887799999999
52.292565000000025,30.59887799999999,52.49256500000003,30.798877999999988
52.292565000000025,30.798877999999988,52.49256500000003,30.998877999999987
52.292565000000025,30.998877999999987,52.49256500000003,31.198877999999986
52.292565000000025,31.198877999999986,52.49256500000003,31.398877999999986
52.292565000000025,31.398877999999986,52.49256500000003,31.598877999999985
52.49256500000003,27.398878,52.69256500000003,27.598878
52.49256500000003,27.598878,52.69256500000003,27.798878
52.49256500000003,27.798878,52.69256500000003,27.998877999999998
52.49256500000003,27.998877999999998,52.69256500000003,28.198877999999997
